Üniversite Adı,Ders Adı,Ders Tanımı
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Dokuz Eylül Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Hacettepe Üniversitesi,Mobil Uygulama Geliştirme,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Yıldız Teknik Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Ankara Üniversitesi,Kriptografi Veri Güvenliği,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Hacettepe Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,İnternet Programcılığı,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Sabancı Üniversitesi,Veri Madenciliği,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Sabancı Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Hacettepe Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Üniversitesi,Makine Ãğrenmesi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Boğaziçi Üniversitesi,Mobil Uygulama Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Dokuz Eylül Üniversitesi,Sistem Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Marmara Üniversitesi,Kriptografi Veri Güvenliği,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Ankara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Sabancı Üniversitesi,İnternet Programcılığı,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Marmara Üniversitesi,Yapay Zeka,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Yıldız Teknik Üniversitesi,Sistem Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Boğaziçi Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
İstanbul Teknik Üniversitesi,Veri Bilimi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Koç Üniversitesi,Programlama Dilleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Sabancı Üniversitesi,İnternet Programcılığı,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Yıldız Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Ankara Üniversitesi,Bilgisayar Ağları,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Sabancı Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
İstanbul Üniversitesi,Bilgisayar Ağları,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Yıldız Teknik Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Koç Üniversitesi,İnternet Programcılığı,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Marmara Üniversitesi,İnternet Programcılığı,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Veritabanı Sistemleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Boğaziçi Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Marmara Üniversitesi,Makine Ãğrenmesi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Boğaziçi Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
İstanbul Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Koç Üniversitesi,Sistem Programlama,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Sabancı Üniversitesi,Web Programlama,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Boğaziçi Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Marmara Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Boğaziçi Üniversitesi,Bilgisayar Ağları,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Dokuz Eylül Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Genel Matematik,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Sabancı Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Hacettepe Üniversitesi,Veri Madenciliği,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Yıldız Teknik Üniversitesi,Genel Matematik,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
İstanbul Teknik Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Üniversitesi,İnternet Programcılığı,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Koç Üniversitesi,Veri Bilimi,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Hacettepe Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Hacettepe Üniversitesi,İnternet Programcılığı,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Dokuz Eylül Üniversitesi,Mobil Uygulama Geliştirme,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Marmara Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Dokuz Eylül Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
İstanbul Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
İstanbul Üniversitesi,İnternet Programcılığı,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Yıldız Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Hacettepe Üniversitesi,Bilgisayar Ağları,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Sabancı Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Marmara Üniversitesi,Programlama Dilleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Hacettepe Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Nesne Tabanlı Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Veri Bilimi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Marmara Üniversitesi,Veritabanı Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
İstanbul Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Orta Doğu Teknik Üniversitesi,Bilgisayar Ağları,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Sabancı Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
İstanbul Üniversitesi,İnternet Programcılığı,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Üniversitesi,Veri Bilimi,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Web Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
İstanbul Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Marmara Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Marmara Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Yıldız Teknik Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Üniversitesi,Veri Bilimi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Dokuz Eylül Üniversitesi,İçerik Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Marmara Üniversitesi,Programlama Dilleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Sabancı Üniversitesi,Web Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Sabancı Üniversitesi,Siber Güvenlik,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Koç Üniversitesi,İnternet Programcılığı,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Üniversitesi,İnternet Programcılığı,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Boğaziçi Üniversitesi,Siber Güvenlik,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Sabancı Üniversitesi,Kriptografi Veri Güvenliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Ankara Üniversitesi,Kriptografi Veri Güvenliği,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Marmara Üniversitesi,İnternet Programcılığı,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Yıldız Teknik Üniversitesi,Makine Ãğrenmesi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Boğaziçi Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Hacettepe Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
İstanbul Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
İstanbul Üniversitesi,Dijital Oyun Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
