Üniversite Adı,Ders Adı,Ders Tanımı,Üniversite Adı_lemmatized,Üniversite Adı_stemmed,Ders Adı_lemmatized,Ders Adı_stemmed,Ders Tanımı_lemmatized,Ders Tanımı_stemmed
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Unk teknik üniversite,i̇stanbul teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Koç Üniversitesi,Programlama Dilleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",koçmak üniversite,koç üniversites,programlamak dil,programla dil,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,saban üniversite,sabancı üniversites,Unk Yönet sistem,i̇çerik yönet sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Sabancı Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",saban üniversite,sabancı üniversites,veritabanı sistem,veritaba sistem,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",dokuz eylül üniversite,dok eylül üniversites,nesne taban programlamak,nesne tabanlı programla,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",saban üniversite,sabancı üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Marmara Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Marmara üniversite,marmar üniversites,veri bili,ver bil,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",Unk teknik üniversite,i̇stanbul teknik üniversites,maki,mak,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Koç Üniversitesi,Veritabanı Sistemleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",koçmak üniversite,koç üniversites,veritabanı sistem,veritaba sistem,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Boğaziçi Üniversitesi,Sistem Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Boğaziçi üniversite,boğaziç üniversites,sistem programlamak,siste programla,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Ankara Üniversitesi,Web Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Ankara üniversite,ankar üniversites,Web programlamak,web programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",orta doğu teknik üniversite,or dok teknik üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,orta doğu teknik üniversite,or dok teknik üniversites,Unk program,i̇nternet programcılık,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Sabancı Üniversitesi,Dijital Oyun Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",saban üniversite,sabancı üniversites,dijital oymak programlamak,dijital oy programla,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
İstanbul Üniversitesi,Veri Madenciliği,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Unk üniversite,i̇stanbul üniversites,veri maden,ver madencilik,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Koç Üniversitesi,Siber Güvenlik,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",koçmak üniversite,koç üniversites,siber Güvenlik,siber güvenlik,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Ankara Üniversitesi,Yapay Zeka,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Ankara üniversite,ankar üniversites,yapay zekâ,yapay zeka,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Sabancı Üniversitesi,Makine Ãğrenmesi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",saban üniversite,sabancı üniversites,maki,mak,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Dokuz Eylül Üniversitesi,Web Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",dokuz eylül üniversite,dok eylül üniversites,Web programlamak,web programla,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Hacettepe üniversite,hacettep üniversites,dijital oymak programlamak,dijital oy programla,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Marmara Üniversitesi,Genel Matematik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Marmara üniversite,marmar üniversites,genel matematik,genel matematik,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Dokuz Eylül Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",dokuz eylül üniversite,dok eylül üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Unk teknik üniversite,i̇stanbul teknik üniversites,veritabanı sistem,veritaba sistem,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",koçmak üniversite,koç üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
İstanbul Üniversitesi,Kriptografi ve Veri Güvenliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Unk üniversite,i̇stanbul üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Sabancı Üniversitesi,Yapay Zeka,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",saban üniversite,sabancı üniversites,yapay zekâ,yapay zeka,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",yıldız teknik üniversite,yıldız teknik üniversites,nesne taban programlamak,nesne tabanlı programla,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Koç Üniversitesi,Web Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",koçmak üniversite,koç üniversites,Web programlamak,web programla,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Koç Üniversitesi,Sistem Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",koçmak üniversite,koç üniversites,sistem programlamak,siste programla,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",orta doğu teknik üniversite,or dok teknik üniversites,maki,mak,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Dokuz Eylül Üniversitesi,İçerik Yönetim Sistemleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",dokuz eylül üniversite,dok eylül üniversites,Unk Yönet sistem,i̇çerik yönet sistem,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Marmara üniversite,marmar üniversites,Unk Yönet sistem,i̇çerik yönet sistem,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Marmara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Marmara üniversite,marmar üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Hacettepe Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Hacettepe üniversite,hacettep üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Marmara Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Marmara üniversite,marmar üniversites,siber Güvenlik,siber güvenlik,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Hacettepe üniversite,hacettep üniversites,Unk Yönet sistem,i̇çerik yönet sistem,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Koç Üniversitesi,Sistem Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",koçmak üniversite,koç üniversites,sistem programlamak,siste programla,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,yıldız teknik üniversite,yıldız teknik üniversites,dijital oymak programlamak,dijital oy programla,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Ankara Üniversitesi,İçerik Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Ankara üniversite,ankar üniversites,Unk Yönet sistem,i̇çerik yönet sistem,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
İstanbul Teknik Üniversitesi,Yapay Zeka,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Unk teknik üniversite,i̇stanbul teknik üniversites,yapay zekâ,yapay zeka,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Hacettepe Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Hacettepe üniversite,hacettep üniversites,siber Güvenlik,siber güvenlik,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Koç Üniversitesi,Nesne Tabanlı Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",koçmak üniversite,koç üniversites,nesne taban programlamak,nesne tabanlı programla,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Yıldız Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",yıldız teknik üniversite,yıldız teknik üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Marmara Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Marmara üniversite,marmar üniversites,Web programlamak,web programla,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",yıldız teknik üniversite,yıldız teknik üniversites,dijital oymak programlamak,dijital oy programla,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
