Üniversite Adı,Ders Adı,Ders Tanımı,lemmatized_text
Koç Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Yıldız Teknik Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Yıldız Teknik Üniversitesi,Veri Bilimi,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Ankara Üniversitesi,Kriptografi ve Veri Güvenliği,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Orta Doğu Teknik Üniversitesi,Veritabanı Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Yıldız Teknik Üniversitesi,Veri Bilimi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Ankara Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Hacettepe Üniversitesi,Web Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Yıldız Teknik Üniversitesi,Veri Madenciliği,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Yıldız Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Boğaziçi Üniversitesi,Siber Güvenlik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Hacettepe Üniversitesi,Siber Güvenlik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Boğaziçi Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
İstanbul Üniversitesi,Programlama Dilleri,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Dokuz Eylül Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Yıldız Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Boğaziçi Üniversitesi,Genel Matematik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Marmara Üniversitesi,Dijital Oyun Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Sabancı Üniversitesi,Veri Bilimi,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Marmara Üniversitesi,Siber Güvenlik,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Marmara Üniversitesi,Programlama Dilleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Dokuz Eylül Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Yıldız Teknik Üniversitesi,Yapay Zeka,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Marmara Üniversitesi,Web Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
İstanbul Teknik Üniversitesi,Veri Madenciliği,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Marmara Üniversitesi,Yapay Zeka,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Sabancı Üniversitesi,Veri Bilimi,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Boğaziçi Üniversitesi,Bilgisayar Ağları,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Ankara Üniversitesi,Makine Ãğrenmesi,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Marmara Üniversitesi,Veritabanı Sistemleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Ankara Üniversitesi,Yapay Zeka,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Marmara Üniversitesi,Sistem Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Dokuz Eylül Üniversitesi,Kriptografi ve Veri Güvenliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Yıldız Teknik Üniversitesi,Veritabanı Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Koç Üniversitesi,Makine Ãğrenmesi,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Dokuz Eylül Üniversitesi,Kriptografi ve Veri Güvenliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Sabancı Üniversitesi,Yapay Zeka,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Dokuz Eylül Üniversitesi,Bilgisayar Ağları,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Koç Üniversitesi,Yapay Zeka,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Ankara Üniversitesi,Bilgisayar Ağları,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Yıldız Teknik Üniversitesi,Web Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Hacettepe Üniversitesi,Veri Madenciliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Hacettepe Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Sabancı Üniversitesi,Veri Bilimi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
